onset	duration	concept	condition
2.577854	0.5	penguin 	subCR
5.627465	0.5	bear 	subHits
15.176529	0.5	wallet 	subCR
21.220996	0.5	mat 	subFA
31.764758	0.5	raccoon 	subCR
35.808004	0.5	tent 	subCR
46.847799	0.5	cricket 	subMiss
56.892321	0.5	foot 	subCR
60.434879	0.5	washingmachine 	subHits
69.480906	0.5	raisin 	subCR
77.024412	0.5	coffeemachine 	subFA
82.569581	0.5	bayonet 	subFA
89.612863	0.5	flea 	subCR
99.657925	0.5	plum 	subHits
103.200657	0.5	brush 	subCR
109.246943	0.5	lamb 	subCR
114.790248	0.5	bra 	subHits
124.835339	0.5	ship 	subCR
131.385498	0.5	dates 	subFA
138.428559	0.5	deer 	subHits
141.967487	0.5	bouquet 	subFA
149.506479	0.5	platypus 	subMiss
157.546297	0.5	avocado 	subFA
167.091004	0.5	banana 	subHits
175.640199	0.5	lettuce 	subFA
180.18402	0.5	telephone 	subHits
188.228935	0.5	ostrich 	subCR
191.278514	0.5	pineapple 	subCR
196.327981	0.5	horse 	subHits
205.872106	0.5	pelican 	subHits
216.916215	0.5	owl 	subMiss
220.95816	0.5	arm 	subFA
229.497985	0.5	rollerskate 	subFA
236.038113	0.5	car 	subMiss
239.583532	0.5	tomato 	subHits
246.626385	0.5	blender 	subCR
254.666384	0.5	aubergine 	subHits
265.710848	0.5	bottle 	subCR
270.754416	0.5	trout 	subCR
275.299898	0.5	artichoke 	subHits
285.348902	0.5	toad 	subHits
294.898003	0.5	sandwich 	subHits
302.447072	0.5	fir 	subMiss
305.489778	0.5	corkscrew 	subCR
312.030245	0.5	duck 	subHits
322.569037	0.5	motorcycle 	subHits
330.114297	0.5	gown 	subCR
334.163908	0.5	fox 	subHits
345.212786	0.5	van 	subCR
350.755517	0.5	pillow 	subHits
355.294674	0.5	cow 	subCR
361.334971	0.5	zebra 	subHits
369.373734	0.5	drill 	subFA
378.419354	0.5	hamster 	subMiss
385.968581	0.5	broccoli 	subCR
395.517558	0.5	carp 	subCR
405.56648	0.5	rollingpin 	subHits
413.609621	0.5	cheetah 	subMiss
416.649345	0.5	pliers 	subFA
427.19438	0.5	belt 	subFA
434.243626	0.5	tangerine 	subFA
445.302395	0.5	marble 	subFA
448.346438	0.5	daisy 	subHits
453.385092	0.5	grasshopper 	subFA
458.92597	0.5	tiger 	subCR
465.470368	0.5	cannon 	subHits
476.019381	0.5	otter 	subHits
481.561731	0.5	llama 	subFA
492.101452	0.5	limousine 	subFA
497.157138	0.5	ball 	subFA
505.70635	0.5	clamp 	subHits
510.249653	0.5	trombone 	subFA
519.294984	0.5	mug 	subFA
527.838258	0.5	truck 	subCR
534.883479	0.5	pansy 	subHits
543.93252	0.5	lizard 	subFA
549.97675	0.5	hyacinth 	n/a
559.015438	0.5	wine 	subHits
563.054035	0.5	microwave 	subHits
567.594569	0.5	camel 	subCR
571.639518	0.5	millipede 	subCR
578.183136	0.5	rock 	subCR
